专业,班级,学号,姓名,总分数
测试计算机科学,测试计科1班,TEST0001,测试学生01,-10
测试计算机科学,测试计科1班,TEST0002,测试学生02,-5.5
测试计算机科学,测试计科1班,TEST0003,测试学生03,0
测试计算机科学,测试计科1班,TEST0004,测试学生04,0
测试计算机科学,测试计科1班,TEST0005,测试学生05,2.5
测试计算机科学,测试计科1班,TEST0006,测试学生06,10
测试计算机科学,测试计科1班,TEST0007,测试学生07,15
测试计算机科学,测试计科1班,TEST0008,测试学生08,25.5
测试计算机科学,测试计科1班,TEST0009,测试学生09,40
测试计算机科学,测试计科1班,TEST0010,测试学生10,60
测试计算机科学,测试计科2班,TEST0011,测试学生11,-2
测试计算机科学,测试计科2班,TEST0012,测试学生12,1
测试计算机科学,测试计科2班,TEST0013,测试学生13,3
测试计算机科学,测试计科2班,TEST0014,测试学生14,5.5
测试计算机科学,测试计科2班,TEST0015,测试学生15,8
测试计算机科学,测试计科2班,TEST0016,测试学生16,12
测试计算机科学,测试计科2班,TEST0017,测试学生17,20
测试计算机科学,测试计科2班,TEST0018,测试学生18,35.5
测试计算机科学,测试计科2班,TEST0019,测试学生19,50
测试计算机科学,测试计科2班,TEST0020,测试学生20,80
测试计算机科学,测试计科3班,TEST0021,测试学生21,-8
测试计算机科学,测试计科3班,TEST0022,测试学生22,0
测试计算机科学,测试计科3班,TEST0023,测试学生23,4.5
测试计算机科学,测试计科3班,TEST0024,测试学生24,9
测试计算机科学,测试计科3班,TEST0025,测试学生25,16
测试计算机科学,测试计科3班,TEST0026,测试学生26,24
测试计算机科学,测试计科3班,TEST0027,测试学生27,33.5
测试计算机科学,测试计科3班,TEST0028,测试学生28,45
测试计算机科学,测试计科3班,TEST0029,测试学生29,65
测试计算机科学,测试计科3班,TEST0030,测试学生30,100
测试信息管理,测试信管1班,TEST0031,测试学生31,-1.5
测试信息管理,测试信管1班,TEST0032,测试学生32,0
测试信息管理,测试信管1班,TEST0033,测试学生33,6
测试信息管理,测试信管1班,TEST0034,测试学生34,11.5
测试信息管理,测试信管1班,TEST0035,测试学生35,18
测试信息管理,测试信管1班,TEST0036,测试学生36,27
测试信息管理,测试信管1班,TEST0037,测试学生37,38.5
测试信息管理,测试信管1班,TEST0038,测试学生38,52
测试信息管理,测试信管1班,TEST0039,测试学生39,72
测试信息管理,测试信管1班,TEST0040,测试学生40,95
测试信息管理,测试信管2班,TEST0041,测试学生41,-3
测试信息管理,测试信管2班,TEST0042,测试学生42,0.5
测试信息管理,测试信管2班,TEST0043,测试学生43,7.5
测试信息管理,测试信管2班,TEST0044,测试学生44,14
测试信息管理,测试信管2班,TEST0045,测试学生45,21.5
测试信息管理,测试信管2班,TEST0046,测试学生46,30
测试信息管理,测试信管2班,TEST0047,测试学生47,44
测试信息管理,测试信管2班,TEST0048,测试学生48,58.5
测试信息管理,测试信管2班,TEST0049,测试学生49,85
测试信息管理,测试信管2班,TEST0050,测试学生50,100
